timestamp num_ops machine arquivo
1318839352181007 144415 palmito 2011_10_17
1318839952181007 145123 palmito 2011_10_17
1318840552181007 144313 palmito 2011_10_17
1318841152181007 144642 palmito 2011_10_17
1318841752181007 145128 palmito 2011_10_17
1318842352181007 144312 palmito 2011_10_17
1318842952181007 144658 palmito 2011_10_17
1318843552181007 145050 palmito 2011_10_17
1318844152181007 144317 palmito 2011_10_17
1318844752181007 144660 palmito 2011_10_17
1318845352181007 145171 palmito 2011_10_17
1318845952181007 144314 palmito 2011_10_17
1318846552181007 144415 palmito 2011_10_17
1318847152181007 146789 palmito 2011_10_17
1318847752181007 144316 palmito 2011_10_17
1318848352181007 144641 palmito 2011_10_17
1318848952181007 221258 palmito 2011_10_17
1318849552181007 144316 palmito 2011_10_17
1318850152181007 144413 palmito 2011_10_17
1318850752181007 145076 palmito 2011_10_17
1318851352181007 144798 palmito 2011_10_17
1318851952181007 144162 palmito 2011_10_17
1318852552181007 145366 palmito 2011_10_17
1318853152181007 144312 palmito 2011_10_17
1318853752181007 144417 palmito 2011_10_17
1318854352181007 145718 palmito 2011_10_17
1318854952181007 144312 palmito 2011_10_17
1318855552181007 144155 palmito 2011_10_17
1318856152181007 145112 palmito 2011_10_17
1318856752181007 144319 palmito 2011_10_17
1318857352181007 144896 palmito 2011_10_17
1318857952181007 145082 palmito 2011_10_17
1318858552181007 144312 palmito 2011_10_17
1318859152181007 144154 palmito 2011_10_17
1318859752181007 145070 palmito 2011_10_17
1318860352181007 276115 palmito 2011_10_17
1318860952181007 444506 palmito 2011_10_17
1318861552181007 511560 palmito 2011_10_17
1318862152181007 428993 palmito 2011_10_17
1318862752181007 284082 palmito 2011_10_17
1318863352181007 283886 palmito 2011_10_17
1318863952181007 289733 palmito 2011_10_17
1318864552181007 283107 palmito 2011_10_17
1318865152181007 177390 palmito 2011_10_17
1318865752181007 144323 palmito 2011_10_17
1318866352181007 144169 palmito 2011_10_17
1318866952181007 145586 palmito 2011_10_17
1318867552181007 144327 palmito 2011_10_17
1318868152181007 144436 palmito 2011_10_17
1318868752181007 145326 palmito 2011_10_17
1318869352181007 144341 palmito 2011_10_17
1318869952181007 144660 palmito 2011_10_17
1318870552181007 145188 palmito 2011_10_17
1318871152181007 144329 palmito 2011_10_17
1318871752181007 144432 palmito 2011_10_17
1318872352181007 145098 palmito 2011_10_17
1318872952181007 144344 palmito 2011_10_17
1318873552181007 144671 palmito 2011_10_17
1318874152181007 145109 palmito 2011_10_17
1318874752181007 144332 palmito 2011_10_17
1318875352181007 144425 palmito 2011_10_17
1318875952181007 145052 palmito 2011_10_17
1318876552181007 144810 palmito 2011_10_17
1318877152181007 144171 palmito 2011_10_17
1318877752181007 145164 palmito 2011_10_17
1318878352181007 144321 palmito 2011_10_17
